,zip,address1,city,company_status,full_profile.names,fetch_url,full_profile.email,full_profile.description,full_profile.employees,full_profile.employees_range,full_profile.industry,full_profile.facebook_account.url,full_profile.linkedin_account.url,full_profile.twitter_account.url,full_profile.last_funding_round_amount,full_profile.naics_code,full_profile.sic_code,full_profile.website,full_profile.orb_num,full_profile.revenue,full_profile.revenue_range,full_profile.total_funding,full_profile.webdomain,full_profile.technologies,full_profile.year_founded,entity_type,is_standalone_company,api_link
10,01035,245 RUSSELL ST,Hadley,active,['Qnect LLC'],https://api.orb-intelligence.com/3/fetch/12593443/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,jhausthor@qnect.com,"Qnect, an intelligent, cloud-based connection app gives fabricators, detailers and EORs fast and flexible connections with significant cost and schedule savings. In minutes, connect steel buildings without capital cost. Two benefits: Preference Optimization and Bolt Optimization.",,10 - 50,Computer Software,http://www.facebook.com/qnectllc,https://www.linkedin.com/company/qnect,https://twitter.com/Qnectllc,309300,511210,7372,http://qnect.com,12593443.0,,1M - 10M,1700000,qnect.com,"[{'name': 'Google Analytics'}, {'name': 'Google Tag Manager'}, {'name': 'HubSpot'}, {'name': 'MaxCDN'}]",2013,company,1.0,
11,01060,5 STRONG AVE,Northampton,active,"['MACHINEMETRICS', 'MachineMetrics Inc', 'MachineMetrics Inc.']",https://api.orb-intelligence.com/3/fetch/60738600/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,info@machinemetrics.com,MachineMetrics is accelerating smart manufacturing by providing an intuitive and flexible IoT platform to help companies reduce machine downtime to drive more profitability with their manufacturing equipment.,30.0,10 - 50,Computer Software,https://www.facebook.com/machinemetrics/timeline?ref=page_internal,https://www.linkedin.com/company/machinemetrics,https://twitter.com/MachineMetrics,,511210,7372,http://machinemetrics.com,60738600.0,,1M - 10M,13400000.0,machinemetrics.com,"[{'name': 'CloudFlare'}, {'name': 'Google Analytics'}, {'name': 'Google Tag Manager'}, {'name': 'HubSpot'}]",2014.0,company,1.0,
12,01060,19R HAWLEY ST,Northampton,active,['Myers'],https://api.orb-intelligence.com/3/fetch/2153966/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,10 - 50,Broadcast Media,,https://www.linkedin.com/company/myers,,,515,48,,2153966.0,,1M - 10M,,,[],1982.0,company,1.0,
13,01060,20 HAMPTON AVE,Northampton,active,"['Sunergix, inc.']",https://api.orb-intelligence.com/3/fetch/10724742/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,web.master@sunergix.com,"Do you have a web or mobile application in mind? Do you want to monetize your data? At PixelEdge, we help clients monetize their data by developing data-driven enterprise level web and mobile applications. We build iOS, Android, and web apps. Let's chat about your next product.",,10 - 50,,,,,,511210,7372,http://sunergix.com,10724742.0,,1M - 10M,,sunergix.com,[{'name': 'MailChimp'}],,company,1.0,
14,01060,20 HAMPTON AVE,Northampton,active,['Credit Market Intelligence'],https://api.orb-intelligence.com/3/fetch/11483369/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,"Do you have a web or mobile application in mind? Do you want to monetize your data? At PixelEdge, we help clients monetize their data by developing data-driven enterprise level web and mobile applications. We build iOS, Android, and web apps. Let's chat about your next product.",,10 - 50,Computer Software,,https://www.linkedin.com/company/credit-market-intelligence,,,511210,7372,http://creditmarketintelligence.com,11483369.0,,1M - 10M,,creditmarketintelligence.com,[{'name': 'MailChimp'}],,company,1.0,
15,01060,136 WEST ST,Northampton,active,"['Cyberlore Studios, Inc.']",https://api.orb-intelligence.com/3/fetch/11542741/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,10 - 50,Computer Software,,,,,511210,7372,http://cyberlore.com,11542741.0,,1M - 10M,,cyberlore.com,[],,company,1.0,
16,01060,130 CROSS PATH RD,Northampton,active,['Pioneer Valley Balloons'],https://api.orb-intelligence.com/3/fetch/41136535/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,Free Download Rapidgator.net Uploaded.net Mediafire.com Ebooktutorials.org,,10 - 50,Recreational Facilities and Services,,,,,511210,7372,http://pioneervalleyballoons.org,41136535.0,,1M - 10M,,pioneervalleyballoons.org,[],,company,1.0,
17,01060,101 CRESCENT ST,Northampton,active,"['INTANGIBLE INDUSTRIES, LLC']",https://api.orb-intelligence.com/3/fetch/13682646/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,1 - 10,Computer Software,,,,,511210,7372,,13682646.0,,0 - 1M,,,[],,company,1.0,
18,01060,351 PLEASANT ST,Northampton,active,"['WORKPAIL, LLC', 'Workpail, LLC']",https://api.orb-intelligence.com/3/fetch/9573298/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,1 - 10,Computer Software,,,,,511210,7372,http://workpail.com,9573298.0,,0 - 1M,,workpail.com,[{'name': 'Google Analytics'}],2010.0,company,1.0,
19,01060,82 INDUSTRIAL DR,Northampton,active,"['EZTakes, Inc.']",https://api.orb-intelligence.com/3/fetch/284539950/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,"Read more: Free Streaming Movies Movies You Can Burn to DVD The Oozing Skull – Movie Download Independent Films Showcase Sell Your Videos On-line Please Talk to Kids About AIDS – Free Movie Download High Times Presents: The Cannabis Cup – Movie Download Cinematic Titanic Episode 5 – Santa Claus Conquers The Martians – Movie … Continue reading """"",1.0,1 - 10,Internet,,https://www.linkedin.com/company/eztakes-inc-,,,511210,7372,http://eztakes.com,284539950.0,,0 - 1M,,eztakes.com,[{'name': 'WordPress'}],2003.0,company,1.0,
20,01062,85 WOODLAND DR,Florence,active,"['Knowledge Matters', 'KNOWLEDGE MATTERS, INC']",https://api.orb-intelligence.com/3/fetch/12205008/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,ginley@knowledgematters.com,"Knowledge Matters’ online interactive, game-like business simulations teach college and high school students key business and marketing concepts.",15,10 - 50,Computer Software,,,,,541511,7371,http://knowledgematters.com,12205008.0,,1M - 10M,,knowledgematters.com,"[{'name': 'Google Tag Manager'}, {'name': 'MaxCDN'}, {'name': 'Pardot'}]",1997,company,1.0,
21,01069,1497 N MAIN ST,Palmer,active,"['Complete HealthCare Solutions', 'COMPLETE HEALTHCARE SOLUTIONS, INC.']",https://api.orb-intelligence.com/3/fetch/40356293/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,Complete EHR & RCM Solution Designed for Independent Provider Practices,,10 - 50,Computer Software,https://www.facebook.com/CHSEMR,https://www.linkedin.com/company/complete-healthcare-solutions-inc.,https://twitter.com/CHSEMR,,54,7372,http://unifimd.com,40356293.0,,1M - 10M,,unifimd.com,"[{'name': 'Amazon Cloudfront'}, {'name': 'Google Analytics'}, {'name': 'Google Tag Manager'}, {'name': 'Piwik'}]",1995,company,1.0,
22,01072,50 OLD EGYPT RD,Shutesbury,active,['WENLIN INSTITUTE'],https://api.orb-intelligence.com/3/fetch/16520474/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,mark@wenlin.com,Wenlin Software for Learning Chinese,3,1 - 10,Publishing,https://www.facebook.com/wenlininstitute,,https://twitter.com/Wenlininstitute,,541511,7371,http://wenlin.com,16520474.0,,0 - 1M,,wenlin.com,"[{'name': 'Constant Contact'}, {'name': 'Drupal'}]",1996,company,1.0,
23,01077,37 DEER RUN,Southwick,active,['Him Tech Group Pvt. Ltd'],https://api.orb-intelligence.com/3/fetch/22930704/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,1 - 10,Computer Software,,https://www.linkedin.com/company/him-tech-group-pvt-ltd,,,334614,3652,,22930704.0,,0 - 1M,,,[],2015,company,1.0,
24,01082,PO BOX 971,Ware,active,['Aztec Development Group'],https://api.orb-intelligence.com/3/fetch/8448608/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,1 - 10,Computer Software,,https://www.linkedin.com/company/cold-spring-development-group,,,334614,3652,http://aztecprogramminglanguage.com,8448608.0,,0 - 1M,,aztecprogramminglanguage.com,[{'name': 'Lexity'}],2010,company,1.0,
25,01085,7 CHAR DR,Westfield,active,['Gulfstream'],https://api.orb-intelligence.com/3/fetch/41591955/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,1 - 10,Computer Software,,,,,511210,7372,,41591955.0,,0 - 1M,,,[],,company,1.0,
26,01089,59 INTERSTATE DR,West Springfield,active,"['LLUMIN, INC']",https://api.orb-intelligence.com/3/fetch/14951111/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,"LLumin provides operations software that dramatically reduces downtime and helps enterprises optimize the performance of their assets, streamlines the management of critical materials, and ensures compliance with regulations.",22.0,10 - 50,Computer Software,,,,,511210,7379,http://llumin.com,14951111.0,,1M - 10M,,llumin.com,"[{'name': 'Google Tag Manager'}, {'name': 'InfusionSoft'}, {'name': 'WooCommerce'}, {'name': 'WordPress'}]",1989,company,1.0,
27,01089,59 INTERSTATE DR,West Springfield,active,"['MANUFACTURES TECHNOLOGIES', 'MTI SYSTEMS', 'MTI SYSTEMS, INC.', 'MTI Systems, Inc.']",https://api.orb-intelligence.com/3/fetch/13190074/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,colleen@mti-systems.com,"Costimator is cost estimating, quoting and process planning software for manufacturers all over the world developed by MTI Systems.",,10 - 50,Computer Software,https://www.facebook.com/Costimator,https://www.linkedin.com/company/mti-systems-inc.,https://twitter.com/Costimator,,511210,7372,http://mtisystems.com,13190074.0,,1M - 10M,,mtisystems.com,"[{'name': 'Google Tag Manager'}, {'name': 'WordPress'}]",1982,company,1.0,
28,01089,2223 WESTFIELD ST,West Springfield,active,"['Acumen Data Systems', 'ACUMEN DATA SYSTEMS, INC', 'Acumen Data Systems, Inc.']",https://api.orb-intelligence.com/3/fetch/12318331/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,info@acumendatasystems.com,"OUR EXPERTISE IS EMPLOYEE
TIMEKEEPING & SCHEDULING 

We provide a flexible cloud or on-premise based, time clock application & hardware solutions that identifies area where staff needs to improve and have made progress. We help organizations manage and increase efficiency of their most valuable resources with timekeeping and scheduling solutions.  TIME CLOCK SOFTWARE",12.0,10 - 50,Computer Software,https://www.facebook.com/AcumenDataSystems/,https://www.linkedin.com/company/acumen-data-systems,,,511210,7372,http://acumendatasystems.com,12318331.0,,1M - 10M,,acumendatasystems.com,"[{'name': 'Google Analytics'}, {'name': 'Google Tag Manager'}, {'name': 'Gravatar'}, {'name': 'WordPress'}]",1995,company,1.0,
29,01103,1350 MAIN ST,Springfield,active,"['HITPOINT, INC', 'HitPoint Inc.']",https://api.orb-intelligence.com/3/fetch/10060429/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,hit@hitpointstudios.com,A Passion for Invention Game of Games Adera Venture Valley Dragons Adventure World Explorer Color BlastAR Kody Kapow Village Defender Star Wars Porg Invasion Hell Marys,30.0,10 - 50,Computer Software,,https://www.linkedin.com/company/542816,https://twitter.com/hitpointinc,,511210,7372,http://hitpointstudios.com,10060429.0,,1M - 10M,2000000.0,hitpointstudios.com,[{'name': 'WordPress'}],2008,company,1.0,
30,01103,1391 MAIN ST,Springfield,active,"['Waterdog Technologies', 'Waterdog Technologies Inc', 'Waterdog Technologies, Inc.']",https://api.orb-intelligence.com/3/fetch/60783154/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,info@waterdogtech.com,,,1 - 10,Computer Hardware,https://www.facebook.com/waterdogtech?_rdr,,https://twitter.com/WaterdogTech,485000.0,334,7372,http://waterdogtech.com,60783154.0,,0 - 1M,485000.0,waterdogtech.com,[{'name': 'Google Tag Manager'}],2013,company,1.0,
31,01103,1350 MAIN ST,Springfield,active,['ZATO INC'],https://api.orb-intelligence.com/3/fetch/302262247/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,Zato Health is the leader in cost-effective use of existing healthcare data,3.0,1 - 10,Computer Software,,,https://twitter.com/zatohealth,,511210,7372,http://zatohealth.com,302262247.0,,0 - 1M,,zatohealth.com,"[{'name': 'Gravatar'}, {'name': 'WordPress'}]",2013,company,1.0,
32,01201,140 POMEROY AVE,Pittsfield,active,"['ANETICS, INC', 'Anetics, LLC', 'Anetics, Inc.']",https://api.orb-intelligence.com/3/fetch/60841177/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,rob.sammons@anetics.com,"Global Securities Finance - Software development, hosting and support",4,1 - 10,Computer Software,,,,,511210,7372,http://anetics.com,60841177.0,,0 - 1M,,anetics.com,[],2012,company,1.0,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,No links registered
